Visitor/Neutral,PTS,Home/Neutral,PTS,Result (so far)
Charlotte Hornets,113,Philadelphia 76ers,131,Philadelphia 76ers
Chicago Bulls,122,Atlanta Hawks,123,Atlanta Hawks
Milwaukee Bucks,92,Houston Rockets,97,Houston Rockets
Miami Heat,87,Indiana Pacers,82,Miami Heat
Brooklyn Nets,112,Washington Wizards,100,Brooklyn Nets
Atlanta Hawks,103,Memphis Grizzlies,128,Memphis Grizzlies
Oklahoma City Thunder,114,Dallas Mavericks,121,Dallas Mavericks
Cleveland Cavaliers,111,San Antonio Spurs,112,San Antonio Spurs
Minnesota Timberwolves,112,Portland Trail Blazers,133,Portland Trail Blazers
Boston Celtics,93,Los Angeles Clippers,113,Los Angeles Clippers
Sacramento Kings,103,Philadelphia 76ers,123,Philadelphia 76ers
Golden State Warriors,111,Milwaukee Bucks,128,Milwaukee Bucks
Phoenix Suns,97,Houston Rockets,111,Houston Rockets
New Orleans Pelicans,100,Utah Jazz,121,Utah Jazz
Boston Celtics,122,Los Angeles Lakers,118,Boston Celtics
Detroit Pistons,141,Charlotte Hornets,134,Detroit Pistons
Golden State Warriors,119,Indiana Pacers,125,Indiana Pacers
Atlanta Hawks,124,Orlando Magic,135,Orlando Magic
New York Knicks,128,Chicago Bulls,120,New York Knicks
Sacramento Kings,124,Toronto Raptors,123,Sacramento Kings
